name, first set, first rarity, first date, earliest non-common set, earliest non-common rarity, earliest non-common date, downshift set, downshift rarity, downshift date
Forest, Limited Edition Alpha, common, 1993-08-05, Arena League 1996, rare, 1996-08-02, Mirage, common, 1996-10-08,
Swamp, Limited Edition Alpha, common, 1993-08-05, Arena League 1996, rare, 1996-08-02, Mirage, common, 1996-10-08,
Wall of Roots, Mirage, common, 1996-10-08, Time Spiral Timeshifted, special, 2006-10-06, Archenemy, common, 2010-06-18,
Gruul Turf, Guildpact, common, 2006-02-03, Modern Masters 2015, uncommon, 2015-05-22, Planechase Anthology, common, 2016-11-25,
Plains, Limited Edition Alpha, common, 1993-08-05, Arena League 1996, rare, 1996-08-02, Mirage, common, 1996-10-08,
Searing Blaze, Worldwake, common, 2010-02-05, Magic Player Rewards 2011, rare, 2011-01-01, Duel Decks: Venser vs. Koth, common, 2012-03-30,
Essence Warden, Planar Chaos, common, 2007-02-02, Magic Online Promos, rare, 2021-12-25, Tales of Middle-earth Commander, common, 2023-06-23,
Frantic Search, Urza's Legacy, common, 1999-02-15, Secret Lair Drop, rare, 2021-11-29, New Capenna Commander, common, 2022-04-29,
Cultivate, Magic 2011, common, 2010-07-16, Friday Night Magic 2011, rare, 2011-01-01, Commander 2011, common, 2011-06-17,
Mountain, Limited Edition Alpha, common, 1993-08-05, Arena League 1996, rare, 1996-08-02, Mirage, common, 1996-10-08,
Island, Limited Edition Alpha, common, 1993-08-05, Arena League 1996, rare, 1996-08-02, Mirage, common, 1996-10-08,
Library of Leng, Limited Edition Alpha, uncommon, 1993-08-05, Limited Edition Alpha, uncommon, 1993-08-05, Masters Edition IV, common, 2011-01-10,
Banishing Light, Friday Night Magic 2014, rare, 2014-01-01, Friday Night Magic 2014, rare, 2014-01-01, Bloomburrow, common, 2024-08-02,
Fling, Stronghold, common, 1998-03-02, Arena League 2001, rare, 2001-01-01, Magic 2011, common, 2010-07-16,
Skyhunter Skirmisher, Fifth Dawn, uncommon, 2004-06-04, Fifth Dawn, uncommon, 2004-06-04, Modern Masters 2015, common, 2015-05-22,
